"","name","sex","year","n"
"11209","Graeme","Male",1963,50
"11210","Grant","Male",1960,50
"11211","Hannah","Female",1983,50
"11212","Ian","Male",1987,50
"11213","Ian","Male",1988,50
"11214","Isaac","Male",1993,50
"11215","Jacinta","Female",1992,50
"11216","Jacinta","Female",2003,50
"11217","Jacqueline","Female",1988,50
"11218","Jacqueline","Female",1993,50
"11219","Janice","Female",1960,50
"11220","Jeffrey","Male",1984,50
"11221","Jo-Anne","Female",1961,50
"11222","Jody","Female",1972,50
"11223","Jody","Female",1976,50
"11224","Jonathan","Male",1976,50
"11225","Jonathan","Male",1979,50
"11226","Jonathon","Male",1987,50
"11227","Julie","Female",1984,50
"11228","Kelly","Female",1995,50
"11229","Kenneth","Male",1980,50
"11230","Leah","Female",1974,50
"11231","Lee","Male",1971,50
"11232","Leslie","Male",1966,50
"11233","Linda","Female",1980,50
"11234","Logan","Male",2000,50
"11235","Martin","Male",1982,50
"11236","Martin","Male",1988,50
"11237","Mary","Female",1971,50
"11238","Mathew","Male",1983,50
"11239","Melinda","Female",1983,50
"11240","Micheal","Male",1976,50
"11241","Michelle","Female",1996,50
"11242","Morgan","Female",1997,50
"11243","Morgan","Female",2000,50
"11244","Naomi","Female",1976,50
"11245","Naomi","Female",1993,50
"11246","Neil","Male",1973,50
"11247","Neville","Male",1964,50
"11248","Neville","Male",1965,50
"11249","Patricia","Female",1982,50
"11250","Peter","Male",2000,50
"11251","Phillip","Male",1990,50
"11252","Rhiannon","Female",1989,50
"11253","Robert","Male",2001,50
"11254","Ronald","Male",1972,50
"11255","Sally","Female",1987,50
"11256","Savannah","Female",2005,50
"11257","Shannon","Female",1975,50
"11258","Sharyn","Female",1964,50
"11259","Sienna","Female",2004,50
"11260","Simone","Female",1988,50
"11261","Skye","Female",1997,50
"11262","Skye","Female",2004,50
"11263","Stuart","Male",1983,50
"11264","Susan","Female",1985,50
"11265","Tahlia","Female",1992,50
"11266","Terrence","Male",1961,50
"11267","Terry","Male",1976,50
"11268","Todd","Male",1982,50
"11269","Todd","Male",1983,50
"11270","Todd","Male",1985,50
"11271","Todd","Male",1986,50
"11272","Troy","Male",1993,50
"11273","Vanessa","Female",1990,50
"11274","Vicki","Female",1975,50
"11275","Wade","Male",1976,50
"11276","Wade","Male",1978,50
"11277","Zara","Female",2005,50
"11278","Alana","Female",1990,49
"11279","Alana","Female",1992,49
"11280","Alexandra","Female",1985,49
"11281","Alexandra","Female",1986,49
"11282","Alice","Female",1990,49
"11283","Allan","Male",1976,49
"11284","Allan","Male",1980,49
"11285","Amelia","Female",1995,49
"11286","Anita","Female",1985,49
"11287","Ann","Female",1969,49
"11288","Ashley","Male",1968,49
"11289","Bethany","Female",2000,49
"11290","Breanna","Female",2003,49
"11291","Brenda","Female",1969,49
"11292","Brendan","Male",1965,49
"11293","Brendon","Male",1984,49
"11294","Brent","Male",1986,49
"11295","Brian","Male",1982,49
"11296","Bridget","Female",1994,49
"11297","Bridget","Female",1996,49
"11298","Brock","Male",1995,49
"11299","Casey","Female",1996,49
"11300","Charlotte","Female",1992,49
"11301","Charlotte","Female",1993,49
"11302","Charlotte","Female",1996,49
"11303","Christina","Female",1990,49
"11304","Christine","Female",1990,49
"11305","Claire","Female",1980,49
"11306","Claudia","Female",1994,49
"11307","Clayton","Male",1976,49
"11308","Cody","Male",1992,49
"11309","Craig","Male",1991,49
"11310","Damian","Male",1984,49
"11311","Damien","Male",1995,49
"11312","Danielle","Female",2002,49
"11313","Darcy","Male",1998,49
"11314","Darren","Male",1990,49
"11315","Dean","Male",1999,49
"11316","Deborah","Female",1980,49
"11317","Debra","Female",1975,49
"11318","Dennis","Male",1970,49
"11319","Desley","Female",1961,49
"11320","Diane","Female",1969,49
"11321","Dominic","Male",2000,49
"11322","Douglas","Male",1974,49
"11323","Edward","Male",1966,49
"11324","Emily","Female",1979,49
"11325","Gemma","Female",1990,49
"11326","Geoffrey","Male",1977,49
"11327","George","Male",1970,49
"11328","Graham","Male",1978,49
"11329","Grant","Male",1965,49
"11330","Harry","Male",1996,49
"11331","Hayley","Female",1980,49
"11332","Helen","Female",1981,49
"11333","Holly","Female",1983,49
"11334","Jane","Female",1978,49
"11335","Jane","Female",1983,49
"11336","Jay","Male",1985,49
"11337","Jay","Male",1989,49
"11338","Jessie","Female",1996,49
"11339","Jo-Anne","Female",1962,49
"11340","Jody","Female",1973,49
"11341","Joseph","Male",1967,49
"11342","Joseph","Male",1974,49
"11343","Joshua","Male",1974,49
"11344","Kaitlyn","Female",2001,49
"11345","Kaitlyn","Female",2005,49
"11346","Katherine","Female",1965,49
"11347","Kathleen","Female",1986,49
"11348","Kathleen","Female",1990,49
"11349","Kay","Female",1960,49
"11350","Kaylene","Female",1963,49
"11351","Keith","Male",1966,49
"11352","Keith","Male",1969,49
"11353","Kelsey","Female",1991,49
"11354","Kiara","Female",2004,49
"11355","Kirsten","Female",1977,49
"11356","Kurt","Male",1992,49
"11357","Leah","Female",1975,49
"11358","Leah","Female",1976,49
"11359","Leanne","Female",1980,49
"11360","Lillian","Female",2002,49
"11361","Louise","Female",1992,49
"11362","Madeleine","Female",2002,49
"11363","Maree","Female",1969,49
"11364","Margaret","Female",1972,49
"11365","Marie","Female",1961,49
"11366","Mark","Male",1998,49
"11367","Mark","Male",1999,49
"11368","Martin","Male",1985,49
"11369","Mathew","Male",1996,49
"11370","Melinda","Female",1986,49
"11371","Mikaela","Female",1999,49
"11372","Molly","Female",2003,49
"11373","Monique","Female",2004,49
"11374","Murray","Male",1961,49
"11375","Naomi","Female",1994,49
"11376","Natalie","Female",2003,49
"11377","Nicola","Female",1992,49
"11378","Nicola","Female",1997,49
